Electricity_Access,Internet_Usage,GDP_Per_Capita,School_Enrollment,Life_Expectancy,Urban_Population,Country Code,Short Name,Region
99.59166666666665,50.07500000000001,9838.472133143228,92.14655373313211,74.00676829268292,41.04241666666666,MUS,Mauritius,Sub-Saharan Africa
11.166666666666666,7.618333333333333,570.9198030481346,37.55420837402345,62.320083333333336,16.491,MWI,Malawi,Sub-Saharan Africa
99.825,73.80833333333335,10259.530955186714,81.3745050672181,75.4195,74.44183333333332,MYS,Malaysia,East Asia & Pacific
49.650000000000006,30.791666666666668,5047.192420305274,45.53009147644044,60.14808333333334,47.375499999999995,NAM,Namibia,Sub-Saharan Africa
100.0,63.142857142857146,34631.24454531466,91.34852915102624,76.991,69.56558333333334,NCL,New Caledonia,East Asia & Pacific
16.48333333333333,6.661818181818182,539.1480037696521,18.375815153121952,58.8795,16.356833333333334,NER,Niger,Sub-Saharan Africa
54.974999999999994,23.23333333333333,2342.3193822537373,45.53009147644044,52.24916666666667,48.203083333333325,NGA,Nigeria,Sub-Saharan Africa
83.44166666666668,25.24166666666667,1937.013649665015,67.9309005737305,72.49391666666666,58.03325000000001,NIC,Nicaragua,Latin America & Caribbean
100.0,92.05,52148.07320055764,120.9794128417969,81.45406504065043,90.21141666666666,NLD,Netherlands,Europe & Central Asia
100.0,95.96666666666665,86268.91534714871,116.03098424275716,82.25060975609757,81.25141666666667,NOR,Norway,Europe & Central Asia
83.02499999999999,22.11916666666667,946.6763389165249,70.6149675935497,68.08774999999999,18.803583333333332,NPL,Nepal,South Asia
99.575,68.2,9425.15374331927,80.49702148437501,60.90933333333334,100.0,NRU,Nauru,East Asia & Pacific
100.0,86.64166666666667,41597.692472438044,116.21951993306476,81.64052845528455,86.39758333333333,NZL,New Zealand,East Asia & Pacific
100.0,73.10000000000001,20752.332791143413,103.63618392944326,78.58258333333335,81.55391666666667,OMN,Oman,"Middle East, North Africa, Afghanistan & Pakistan"
